Urutan,NAMA,ID TIANG/GARDU,NAMA TIANG/GARDU,KEYPOINT,LATITUDE,LONGITUDE
1,ANGKLUNG,17TG0123001045,F.TEROMPET.000006,PMT ANGKLUNG,-5.36728,104.93034
2,ANGKLUNG,17TG0125002303,F.PIANO.000001,PMT ANGKLUNG,-5.36705,104.93103
3,ANGKLUNG,17TG0125002304,F.PIANO.000002,PMT ANGKLUNG,-5.36696,104.93146
4,ANGKLUNG,17TG0125002305,F.PIANO.000003,PMT ANGKLUNG,-5.36692,104.93191
5,ANGKLUNG,17TG0125002306,F.PIANO.000004,PMT ANGKLUNG,-5.36684,104.93224
6,ANGKLUNG,17TG0125002307,F.PIANO.000005,PMT ANGKLUNG,-5.36679,104.93264
7,ANGKLUNG,17TG0125002308,F.PIANO.000006,PMT ANGKLUNG,-5.36670,104.93311
8,ANGKLUNG,17TG0125002309,F.PIANO.000007,PMT ANGKLUNG,-5.36657,104.93357
9,ANGKLUNG,17TG0125002310,F.PIANO.000008,PMT ANGKLUNG,-5.36648,104.93412
10,ANGKLUNG,17TG0125002311,F.PIANO.000009,PMT ANGKLUNG,-5.36643,104.93453
11,ANGKLUNG,17TG0125002312,F.PIANO.000010,PMT ANGKLUNG,-5.36637,104.93490
12,ANGKLUNG,17TG0125002313,F.PIANO.000011,PMT ANGKLUNG,-5.36623,104.93534
13,ANGKLUNG,17TG0125002314,F.PIANO.000012,PMT ANGKLUNG,-5.36619,104.93572
14,ANGKLUNG,17TG0125002315,F.PIANO.000013,PMT ANGKLUNG,-5.36609,104.93620
15,ANGKLUNG,17TG0125002316,F.PIANO.000014,PMT ANGKLUNG,-5.36597,104.93659
16,ANGKLUNG,17TG0125002317,F.PIANO.000015,PMT ANGKLUNG,-5.36584,104.93700
17,ANGKLUNG,17TG0125002318,F.PIANO.000016,PMT ANGKLUNG,-5.36575,104.93743
18,ANGKLUNG,17TG0125002319,F.PIANO.000017,PMT ANGKLUNG,-5.36567,104.93792
19,ANGKLUNG,17TG0125002251,F.ANGKLUNG.000440,PMT ANGKLUNG,-5.36623,104.93795
20,ANGKLUNG,17TG0125002252,F.ANGKLUNG.000441,PMT ANGKLUNG,-5.36677,104.93798
21,ANGKLUNG,17TG0125009047,F.ANGKLUNG.000561,PMT ANGKLUNG,-5.36695,104.93783
22,ANGKLUNG,17TG0125009048,F.ANGKLUNG.000562,PMT ANGKLUNG,-5.36699,104.93741
23,ANGKLUNG,17TG0125009049,F.ANGKLUNG.000563,PMT ANGKLUNG,-5.36706,104.93692
24,ANGKLUNG,17TG0125009050,F.ANGKLUNG.000564,PMT ANGKLUNG,-5.36707,104.93639
25,ANGKLUNG,17TG0125009051,F.ANGKLUNG.000565,PMT ANGKLUNG,-5.36702,104.93597
26,ANGKLUNG,17TG0125002019,F.ANGKLUNG.000208,FCO JATI AGUNG,-5.39278,104.93566
27,ANGKLUNG,17TG0125002020,F.ANGKLUNG.000209,FCO JATI AGUNG,-5.39274,104.93607
28,ANGKLUNG,17TG0125002021,F.ANGKLUNG.000210,FCO JATI AGUNG,-5.39272,104.93647
29,ANGKLUNG,17TG0125002022,F.ANGKLUNG.000211,FCO JATI AGUNG,-5.39270,104.93688
30,ANGKLUNG,17TG0125002023,F.ANGKLUNG.000212,FCO JATI AGUNG,-5.39267,104.93735
31,ANGKLUNG,17TG0125002024,F.ANGKLUNG.000213,FCO JATI AGUNG,-5.39266,104.93778
32,ANGKLUNG,17TG0125002025,F.ANGKLUNG.000214,FCO JATI AGUNG,-5.39264,104.93819
33,ANGKLUNG,17TG0125002026,F.ANGKLUNG.000215,FCO JATI AGUNG,-5.39262,104.93867
34,ANGKLUNG,17TG0125002027,F.ANGKLUNG.000216,FCO JATI AGUNG,-5.39264,104.93906
35,ANGKLUNG,17TG0125002028,F.ANGKLUNG.000217,FCO JATI AGUNG,-5.39234,104.93899
36,ANGKLUNG,17TG0125002029,F.ANGKLUNG.000218,FCO JATI AGUNG,-5.39184,104.93898
37,ANGKLUNG,17TG0125002030,F.ANGKLUNG.000219,FCO JATI AGUNG,-5.39140,104.93898
38,ANGKLUNG,17TG0125002035,F.ANGKLUNG.000224,FCO JATI AGUNG,-5.39259,104.93945
39,ANGKLUNG,17TG0125002036,F.ANGKLUNG.000225,FCO JATI AGUNG,-5.39257,104.93985
40,ANGKLUNG,17TG0125002037,F.ANGKLUNG.000226,FCO JATI AGUNG,-5.39256,104.94026
41,ANGKLUNG,17TG0125002038,F.ANGKLUNG.000227,FCO JATI AGUNG,-5.39255,104.94068
42,ANGKLUNG,17TG0125002039,F.ANGKLUNG.000228,FCO JATI AGUNG,-5.39253,104.94119
43,ANGKLUNG,17TG0125002040,F.ANGKLUNG.000229,FCO JATI AGUNG,-5.39251,104.94159
44,ANGKLUNG,17TG0125002041,F.ANGKLUNG.000230,FCO JATI AGUNG,-5.39250,104.94205
45,ANGKLUNG,17TG0125002042,F.ANGKLUNG.000231,FCO JATI AGUNG,-5.39247,104.94245
46,ANGKLUNG,17TG0125002043,F.ANGKLUNG.000232,FCO JATI AGUNG,-5.39248,104.94284
47,ANGKLUNG,17TG0125002044,F.ANGKLUNG.000233,FCO JATI AGUNG,-5.39233,104.94331
48,ANGKLUNG,17TG0125002045,F.ANGKLUNG.000234,FCO JATI AGUNG,-5.39196,104.94363
49,ANGKLUNG,17TG0125002046,F.ANGKLUNG.000235,FCO JATI AGUNG,-5.39166,104.94390
50,ANGKLUNG,17TG0125002047,F.ANGKLUNG.000236,FCO JATI AGUNG,-5.39137,104.94417
